titulo,tipo,precio,condicion,ubicacion,tiempo,reputacion,pago
Computador Nuevo Completo Para Cyber Oficina Hogar,Computadoras y Servidores,250,Nuevo  -  41 vendidos,"Quito, Pichincha ( Quito )",5 Años,96% de compradores lo recomiendan,Tarjeta de Crédito
"Pc Gamer Core I5 7400, 8gb, Video Gt 1030 Computador I3 I7",Computadoras y Servidores,725,Nuevo  -  4 vendidos,"Guayaquil, Guayas",4 Años,97% de compradores lo recomiendan,Tarjeta de Crédito
Cpu Core I5 4gb Ram Disco 500gb Karaoke/series/peliculas,Computadoras y Servidores,265,Nuevo  -  1 vendido,"Quito, Pichincha ( Quito )",1 Año,,Tarjeta de Crédito
"Osciloscopio De Mano, Multimetro, Cinco En Uno Marca Hantek",Computadoras y Servidores,660,Nuevo,"Quito, Pichincha ( Quito )",3 Años,100% de compradores lo recomiendan,Tarjeta de Crédito
"Computador Cpu Intel Core I5 D500gb 8gb Ram Tarj V2gb, I7",Computadoras y Servidores,347,Nuevo  -  1 vendido,"Quito, Pichincha ( Quito )",,,Efectivo
"Cpu Intel Core 2 Quad De 2.83ghz ,12mb Cache",Computadoras y Servidores,170,Usado  -  2 vendidos,"Quito, Pichincha ( Quito )",5 Años,95% de compradores lo recomiendan,Tarjeta de Crédito
"Computador Cpu Intel Core I3 Disco 500gb M 4gb, I5 ,i7",Computadoras y Servidores,239,Nuevo  -  3 vendidos,"Quito, Pichincha ( Quito )",,,Efectivo
Centro De Computo Con Equipos Virtualizacion,Computadoras y Servidores,188,Nuevo  -  2 vendidos,"Quito, Pichincha ( Quito )",3 Años,,Tarjeta de Crédito
Cpu Intel Core I3 7100 3.9 2000gb 4gb Dvd Writer,Computadoras y Servidores,325,Nuevo  -  1 vendido,"Quito, Pichincha ( Quito )",4 Años,95% de compradores lo recomiendan,Tarjeta de Crédito
Caja De Paso Beaucoup Rapid Lock Metalico I-0223 Ip-20 Cctv,Computadoras y Servidores,15,Nuevo  -  4 vendidos,"Quito, Pichincha ( Quito )",1 Año,99% de compradores lo recomiendan,Efectivo
"Pc De Escritorio Intel I3, 7ma Gen+4gb+500+monitor 19 Nueva",Computadoras y Servidores,399,Nuevo  -  148 vendidos,"Quito, Pichincha ( Quito )",3 Años,96% de compradores lo recomiendan,Efectivo
